,Cell,Time,Channel,Area,Mean,Variance,Total Intensity,Center of Mass X,Center of Mass Y,Angle of Major Axis,Length Major Axis,Length Minor Axis,Disappeared in video,Growth,Name,Site
4840,80157,11,Channel1,107,2387.551401869159,200643.9109092497,255468,134.80373831775702,910.1869158878504,86.0559841385803,14.102037546688756,9.779788512984684,False,4.0,8,7&8
4841,80157,12,Channel1,107,2353.5140186915887,202412.34326142017,251826,134.82242990654206,909.3831775700936,85.85968156333486,14.408023803131233,9.576894519199351,False,0.0,8,7&8
4842,80157,13,Channel1,109,2348.990825688073,228399.36688830904,256040,134.47706422018348,911.183486238532,84.77458327328695,14.446235353576869,9.7588732919481,False,2.0,8,7&8
4843,80157,14,Channel1,108,2271.6203703703704,252477.01328875168,245335,133.99074074074073,909.1388888888888,82.98846484802019,14.79441469212376,9.50500358526831,False,-1.0,8,7&8
4844,80157,15,Channel1,109,2260.394495412844,255166.7342816261,246383,132.73394495412845,911.5412844036696,85.11649748912902,15.676419710826892,9.345509620416024,False,1.0,8,7&8
4845,80157,16,Channel1,99,2186.818181818182,289990.67401285586,216495,133.62626262626262,909.5454545454544,69.9343230036267,13.329986528579726,9.590597938397408,False,-10.0,8,7&8
4846,80157,17,Channel1,92,2231.913043478261,283921.1663516068,205336,132.7173913043478,909.304347826087,70.22853956671389,12.70440987402652,9.32119303547699,False,-7.0,8,7&8
4847,80157,18,Channel1,62,2473.6451612903224,304275.7450572321,153366,134.61290322580646,912.1935483870968,-67.5199985236321,11.0781934406031,7.359487001048127,False,-30.0,8,7&8
4848,80157,19,Channel1,85,825.9176470588235,30561.62851211072,70203,134.0705882352941,906.4235294117648,74.97562874831782,12.737217182393591,8.625396925243807,False,23.0,8,7&8
4849,80157,20,Channel1,83,2169.120481927711,244576.2264479605,180037,132.44578313253012,908.0361445783132,62.29318005158586,12.189471191627888,8.811396718965717,False,-2.0,8,7&8
4850,80157,21,Channel1,85,2158.0823529411764,285039.18145328714,183437,133.27058823529413,907.7647058823528,71.78088662664142,12.315648451847832,8.920557371977637,False,2.0,8,7&8
